date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:59	24792/24792	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:00%20GMT	https://www.ihateironing.com/why-us/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/why-us/index.html	(from https://www.ihateironing.com/)
18:26:59	9375/9375	---M--	200	added ('OK')	application/javascript	etag:%22cb57f83b8cdeb5b77e615a185d85bf9c%22	https://s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/vendor/vegas/dist/vegas.min.js	C:/My%20Web%20Sites/ihateironing/s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/vendor/vegas/dist/vegas.min.js	(from https://www.ihateironing.com/)
18:26:59	14793/14793	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:00%20GMT	https://www.ihateironing.com/reviews/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/reviews/index.html	(from https://www.ihateironing.com/)
18:26:59	15449/15449	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:01%20GMT	https://www.ihateironing.com/careers/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/careers/index.html	(from https://www.ihateironing.com/)
18:27:00	45454/45454	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:01%20GMT	https://www.ihateironing.com/blog/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/blog/index.html	(from https://www.ihateironing.com/)
18:27:00	19749/19749	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:01%20GMT	https://www.ihateironing.com/press/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/press/index.html	(from https://www.ihateironing.com/)
18:27:00	10041/10041	---M--	200	added ('OK')	text/css	etag:%2263de3a3ab0095bcd0e672a929aba7399%22	https://s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/vendor/vegas/dist/vegas.min.css	C:/My%20Web%20Sites/ihateironing/s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/vendor/vegas/dist/vegas.min.css	(from https://www.ihateironing.com/)
18:27:00	26001/26001	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:01%20GMT	https://www.ihateironing.com/terms/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/terms/index.html	(from https://www.ihateironing.com/)
18:27:00	22952/22952	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:01%20GMT	https://www.ihateironing.com/privacy/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/privacy/index.html	(from https://www.ihateironing.com/)
18:27:01	89650/89650	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:02%20GMT	https://www.ihateironing.com/wash-and-fold-nyc/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/wash-and-fold-nyc/index.html	(from https://www.ihateironing.com/)
